id,nama bahan,kategori
ER001,"Alpukat,segar",Buah
ER002,"Anggurhutan,segar",Buah
ER003,"Apelmalang,segar",Buah
ER004,"Apel,segar",Buah
ER005,"Arbai,segar",Buah
EP001,Barongko,Buah
ER006,"Belimbing,segar",Buah
ER007,"Biwah,segar",Buah
ER114,"Blewah,segar",Buah
ER008,"Buahatung,segar",Buah
ER009,"Buahkelenting,segar",Buah
ER010,"Buahkom,segar",Buah
ER011,"Buahmentega(Bisbul),segar",Buah
ER012,"BuahNagaMerah,segar",Buah
ER013,"BuahNagaPutih,segar",Buah
ER014,"Buahnegri,segar",Buah
ER015,"Buahnona,segar",Buah
ER016,"Buahrotan,segar",Buah
ER017,"Buahrukam,segar",Buah
ER018,"Buahruruhi,segar",Buah
ER019,"Buahtuppa,segar",Buah
ER020,"Caricapapaya,segar",Buah
ER021,"Cempedak,segar",Buah
EP002,Dodolnanas,Buah
ER022,"Duku,segar",Buah
ER023,"Durian,segar",Buah
ER024,"Duwet,segar",Buah
ER025,"Embacang,segar",Buah
ER026,"Encungasam,segar",Buah
ER027,"Erbis,segar",Buah
ER028,Gandariamasak,Buah
ER029,"Gatep,segar",Buah
EP003,Getukpisang,Buah
ER030,"Jambuair,segar",Buah
ER031,Jambubiji,Buah
ER032,Jambubijiputihtidakberbiji,Buah
ER033,"Jambubol,segar",Buah
ER034,"Jambumonyet,segar",Buah
ER035,"Jerukbali,segar",Buah
ER036,"Jerukbanjar,segar",Buah
ER037,Jerukgarut-keprok,Buah
ER038,"JerukKalamansi,segar",Buah
ER039,"Jeruk,segar",Buah
ER040,"Jeruknipis,segar",Buah
ER041,"Jerukragi,segar",Buah
ER042,"Kawista,segar",Buah
ER043,"Kedondongmasak,segar",Buah
ER044,"Kedondong,segar",Buah
ER045,"Kelapahutan,kering",Buah
ER046,"Kelapamuda,daging,segar",Buah
ER047,"Kemang,segar",Buah
EP004,Keripiklampung,Buah
ER048,"Kesemek,segar",Buah
ER049,"Kokosan,segar",Buah
ER050,"Kranji,segar",Buah
ER051,"Langsat,segar",Buah
EP005,Ledrepisang,Buah
ER052,"Lemon,segar",Buah
EP006,Lempogdurian,Buah
EP007,Lokaanjoro,Buah
ER053,"Lontar,segar",Buah
ER055,"Manggabenggala,segar",Buah
ER056,"Manggagedung,segar",Buah
ER057,"Manggagolek,segar",Buah
ER058,"Manggaharumanis,segar",Buah
ER059,"Manggaindramayu,segar",Buah
ER060,"Manggakopek,segar",Buah
ER061,"Manggakwini,segar",Buah
ER062,"Manggamanalagi,segar",Buah
ER063,"Manggamuda,segar",Buah
ER054,"Mangga,segar",Buah
ER064,"Manggis,segar",Buah
ER065,"Markisa,segar",Buah
ER066,"Matoa,segar",Buah
ER067,"Melon,segar",Buah
ER068,"Menteng,segar",Buah
ER113,"MentimunSuri,segar",Buah
ER069,"Nanaspalembang,segar",Buah
ER070,"Nanas,segar",Buah
ER071,"Nangkamasakpohon,segar",Buah
ER072,"Pala,daging,segar",Buah
ER073,"Pepaya,segar",Buah
ER074,"Pisang,segar",Buah
ER075,"Pisangangleng(pisangampyang),segar",Buah
ER076,"Pisangayam,segar",Buah
ER077,"Pisanggapi,segar",Buah
ER078,"Pisanggoroho,segar",Buah
ER079,"Pisanghijau,segar",Buah
ER080,"Pisangkayu,segar",Buah
ER081,"Pisangkepok,segar",Buah
ER082,"Pisangketip,segar",Buah
ER083,"Pisangkidang,segar",Buah
ER084,"Pisanglampung,segar",Buah
ER085,"Pisangmasbaliampenan,segar",Buah
ER086,"Pisangmasbalikopang,segar",Buah
ER087,"Pisangmas,segar",Buah
ER088,"Pisangrajasereh,segar",Buah
ER089,"Pisangraja,segar",Buah
ER090,"Pisangrotan,segar",Buah
ER091,"Pisangtalas,segar",Buah
ER092,Pisangtujuhbulan,Buah
ER093,"Pisangua,segar",Buah
ER094,"Pisanguli,segar",Buah
ER095,"Purut,segar",Buah
ER096,"Rambutanbinjai,segar",Buah
ER097,"Rambutan,segar",Buah
EP008,Rica-ricataipa,Buah
EP009,Rujakaceh,Buah
ER098,"Salakbali,segar",Buah
ER099,"Salakmedan,segar",Buah
ER100,"Salakpondoh,segar",Buah
ER101,"Salak,segar",Buah
EP010,Salekesemek,Buah
EP011,Salepisangsiam,Buah
EP012,"Salepisang,cilacap",Buah
EP013,Sanggarabelanda,Buah
ER102,"Sawoduren,segar",Buah
ER103,"Sawokecik,segar",Buah
ER104,"SawoManila,segar",Buah
ER105,"Semangka,segar",Buah
ER106,"Sirsak,segar",Buah
ER107,"Sowa,segar",Buah
ER108,"Srikaya,segar",Buah
ER109,"Sukunmuda,segar",Buah
ER110,"Sukuntua,segar",Buah
EP014,TepungPisang,Buah
EP015,TepungSukun,Buah
ER111,"Vigus,segar",Buah
ER112,"Wani,segar",Buah
FR001,"Anak sapi, daging, gemuk, segar",Lauk
FR002,"Anak sapi, daging, kurus, segar",Lauk
FR003,"Anak sapi, daging, sedang, segar",Lauk
FR004,"Angsa, daging, segar",Lauk
FP021,"Ayam goreng church texas, dada",Lauk
FP023,"Ayam goreng church texas, sayap",Lauk
FP022,"Ayam goreng church,texas paha",Lauk
FP024,"Ayam goreng kalasan, paha",Lauk
FP025,"Ayam goreng kentucky, dada",Lauk
FP026,"Ayam goreng Kentucky, paha",Lauk
FP027,"Ayam goreng Kentucky,sayap",Lauk
FP028,Ayam goreng mbok berek dada,Lauk
FP029,"Ayam goreng pasundan, dada",Lauk
FP030,"Ayam goreng pasundan, paha",Lauk
FP031,"Ayam goreng pioneer, dada",Lauk
FP032,"Ayam goreng sukabumi, dada",Lauk
FP033,"Ayam goreng sukabumi, paha",Lauk
FP034,"Ayam taliwang, masakan",Lauk
FP001,"Ayam, ampela, goreng",Lauk
FR005,"Ayam, daging, segar",Lauk
FR006,"Ayam, dideh/darah, segar",Lauk
FR007,"Ayam, hati, segar",Lauk
FP002,"Ayam, usus, goreng",Lauk
FP035,"Babi hutan masak rica, masakan",Lauk
FR008,"Babi, daging, gemuk,segar",Lauk
FR009,"Babi, daging, kurus, segar",Lauk
FR010,"Babi, ginjal, segar",Lauk
FR011,"Babi, hati, segar",Lauk
FR012,"Bebek (itik), daging, segar",Lauk
FR013,"Bebek alabio, daging, segar",Lauk
FP003,"Bebek, daging, goreng",Lauk
FP036,Beef burger,Lauk
FP037,"Beef teriyaki, masakan",Lauk
FP038,"Beef yakiniku, masakan",Lauk
FR014,"Belibis, daging, segar",Lauk
FP039,Brongkos,Lauk
FP004,"Buaya, daging, dendeng, mentah",Lauk
FP040,"Bulgogi, masakan",Lauk
FR015,"Burung, sarang, segar",Lauk
FP041,"Chicken teriyaki, masakan",Lauk
FP042,"Chikiniku, masakan",Lauk
FP043,"Coto mangkasara, kuda, masakan",Lauk
FP044,"Coto mangkasara, sapi, masakan",Lauk
FP045,"Djibokum, masakan",Lauk
FR016,"Domba, daging, gemuk, segar",Lauk
FR017,"Domba, daging, kurus, segar",Lauk
FR018,"Domba, ginjal, segar",Lauk
FP046,"Empal (daging) Goreng, masakan",Lauk
FP047,Gulai kambing,Lauk
FP005,Ham,Lauk
FP006,"Itik alabio, daging, dendeng, mentah",Lauk
FP048,"Jangang bintatoeng, masakan",Lauk
FP049,"Kalio ayam, masakan",Lauk
FP050,"Kalio jeroan, masakan",Lauk
FP051,"Kalio kikil (tunjang), masakan",Lauk
FP052,"Kalio otak, masakan",Lauk
FR019,"Kambing, daging, segar",Lauk
FR020,"Kelinci, daging, segar",Lauk
FR021,"Kerbau, daging, segar",Lauk
FP007,Kerupuk urat,Lauk
FR022,"Kuda, daging, segar",Lauk
FP053,"Lawar babi, masakan",Lauk
FP054,"Lawar penyu, masakan",Lauk
FP055,"Lawara jangang, masakan",Lauk
FP008,"Menjangan, daging, dendeng, mentah",Lauk
FP056,"Naan maran sapi, masakan",Lauk
FP057,"Nasu likku, masakan",Lauk
FP058,"Oramu ninahu ndawa olaho, masakan",Lauk
FP059,"Paniki masak santan, masakan",Lauk
FP060,"Pelolah manuk, masakan",Lauk
FP066,"Penyu, serapah, masakan",Lauk
FP009,"Punai, daging, goreng",Lauk
FP061,"Rawon, masakan",Lauk
FP062,"Rendang sapi, masakan",Lauk
FP010,"Rusa, daging, dendeng, mentah",Lauk
FP063,"RW, anjing, masakan",Lauk
FP011,"Sapi, abon",Lauk
FP012,"Sapi, abon, asli",Lauk
FR023,"Sapi, babat, segar",Lauk
FP013,"Sapi, daging, asap",Lauk
FP014,"Sapi, daging, dendeng, mentah",Lauk
FR024,"Sapi, daging, gemuk, segar",Lauk
FP015,"Sapi, daging, kornet",Lauk
FR025,"Sapi, daging, kurus, segar",Lauk
FR026,"Sapi, daging, lemak sedang, segar",Lauk
FP016,"Sapi, daging, sosis (Worst)",Lauk
FR027,"Sapi, daleman, segar",Lauk
FR028,"Sapi, dideh/darah",Lauk
FR029,"Sapi, ginjal, segar",Lauk
FP017,"Sapi, hati, sosis (liverworst)",Lauk
FR030,"Sapi, keleponan, segar",Lauk
FR031,"Sapi, liver, segar",Lauk
FR032,"Sapi, otak, segar",Lauk
FP018,"Sapi, paru, dendeng, mentah",Lauk
FP019,"Sapi, paru, goreng",Lauk
FR033,"Sapi, usus, segar",Lauk
FP065,"Sate pusut, masakan",Lauk
FP064,"Sate, penyu, masakan",Lauk
FP067,"Sie reuboh, masakan",Lauk
FP068,"Sop buntut, masakan",Lauk
FP069,"Sop daging sapi, masakan",Lauk
FP070,"Sop kaki sapi, masakan",Lauk
FP071,"Sop kambing, masakan",Lauk
FP072,"Sop konro, masakan",Lauk
FP073,"Sop saudara, masakan",Lauk
FP074,"Soto bandung, masakan",Lauk
FP075,"Soto banjar, masakan",Lauk
FP076,"Soto betawi, masakan",Lauk
FP077,"Soto jeroan, masakan",Lauk
FP078,"Soto kudus, masakan",Lauk
FP079,"Soto madura, masakan",Lauk
FP080,"Soto padang, masakan",Lauk
FP081,"Soto pekalongan, masakan",Lauk
FP082,"Soto pemalang, masakan",Lauk
FP083,"Soto sukaraja, masakan",Lauk
FP084,"Soto sulung, masakan",Lauk
FP085,"Sukiyaki, masakan",Lauk
GP053,Abon haruwan,Lauk
GP054,Abon ikan,Lauk
GP001,"Bekicot, dendeng, mentah",Lauk
GP002,"Belut, goreng",Lauk
GR011,"Belut, segar",Lauk
GR012,"Belut,laut, segar",Lauk
GP055,"Betok wadi, masakan",Lauk
GP056,"Bou ninahu ndamate, masakan",Lauk
GP057,"Bouiki ninahu nggaluku, masakan",Lauk
GP058,Cakalang asar (asap papua),Lauk
GP003,"Cumi-cumi, goreng",Lauk
GR022,"Cumi-cumi, segar",Lauk
GP059,"Dendeng belut, goreng",Lauk
GP060,"Dendeng mujahir, goreng",Lauk
GP061,Fillet o-fish,Lauk
GP062,"Gete kuah asam, masakan",Lauk
GP063,"Gulai asam keueung, masakan",Lauk
GP064,"Gulai ikan paya, masakan",Lauk
GP065,"Gulai ikan, masakan",Lauk
GP066,"Gulai keumamah, masakan",Lauk
GP067,"Gulai tiram, masakan",Lauk
GP068,"Gurame asem manis, masakan",Lauk
GP069,"Ikan asar merah, masakan",Lauk
GP004,"Ikan asin, kering",Lauk
GR001,"Ikan bader, segar",Lauk
GR002,"Ikan balong, segar",Lauk
GR003,"Ikan bambangan, segar",Lauk
GP005,"Ikan bandeng presto, masakan",Lauk
GR004,"Ikan bandeng, segar",Lauk
GR005,"Ikan banjar, segar",Lauk
GR006,"Ikan baronang, segar",Lauk
GR007,"Ikan batung, segar",Lauk
GP006,Ikan baung bakar,Lauk
GR008,"Ikan baung, segar",Lauk
GR009,"Ikan bawal, segar",Lauk
GP007,Ikan Belida bakar,Lauk
GR010,"Ikan Belida, segar",Lauk
GR013,"Ikan beunteur, segar",Lauk
GR014,"Ikan biawan, segar",Lauk
GR015,"Ikan bili, segar",Lauk
GR016,"Ikan bubara, segar",Lauk
GR017,"Ikan bulan-bulan, segar",Lauk
GP008,"Ikan cakalang asap, mentah",Lauk
GP009,"Ikan cakalang asin, mentah",Lauk
GR019,"Ikan cakalang, hati, segar",Lauk
GR020,"Ikan cakalang, jantung, segar",Lauk
GR021,"Ikan cakalang, perut, segar",Lauk
GP010,"Ikan calo/ peda, mentah",Lauk
GR023,"Ikan daun, segar",Lauk
GR024,"Ikan ekor kuning, segar",Lauk
GP011,"Ikan Gabus asap, mentah",Lauk
GP012,"Ikan Gabus, kering",Lauk
GR025,"Ikan gabus, segar",Lauk
GP013,"Ikan gete, goreng",Lauk
GR026,"Ikan Heu, segar",Lauk
GR027,"Ikan hitam, segar",Lauk
GP014,"Ikan hiu, kering",Lauk
GR028,"Ikan hiu, segar",Lauk
GR029,"Ikan kacangan, segar",Lauk
GR030,"Ikan kakap, segar",Lauk
GR031,"Ikan kakatua, segar",Lauk
GR032,"Ikan kalaban, segar",Lauk
GR033,"Ikan Kamera, segar",Lauk
GR034,"Ikan kapar, segar",Lauk
GP015,"Ikan katombo, asin",Lauk
GR035,"Ikan kawalinya, segar",Lauk
GP016,"Ikan kayu, kering",Lauk
GR040,"Ikan keru-keru, segar",Lauk
GR041,"Ikan kima, segar",Lauk
GP017,Ikan Lais bakar,Lauk
GR045,"Ikan lais, segar",Lauk
GR046,"Ikan layang, segar",Lauk
GR047,"Ikan layur, segar",Lauk
GR048,"Ikan lehoma, segar",Lauk
GR049,"Ikan lemuru, segar",Lauk
GR050,"Ikan lidah, segar",Lauk
GP018,"Ikan lomak asin, mentah",Lauk
GR052,"Ikan malalugis, segar",Lauk
GR053,"Ikan mamar merah, segar",Lauk
GP019,Ikan Mas pepes,Lauk
GR054,"Ikan mas, segar",Lauk
GR055,"Ikan mayong, segar",Lauk
GP020,Ikan mujahir goreng,Lauk
GP021,Ikan Mujahir pepes,Lauk
GP022,"Ikan mujahir, dendeng, mentah",Lauk
GR056,"Ikan mujahir, segar",Lauk
GR057,"Ikan nasu metti, segar",Lauk
GR036,"Ikan oci, kembung, segar",Lauk
GR058,"Ikan paling, segar",Lauk
GP023,"Ikan Papuyu, bakar",Lauk
GR059,"Ikan papuyu/ betok, segar",Lauk
GP024,"Ikan Patin, bakar",Lauk
GR060,"Ikan Patin, segar",Lauk
GP025,"Ikan peda banjar, mentah",Lauk
GP026,"Ikan pepetek, mentah",Lauk
GP027,"Ikan Pindang banjar, mentah",Lauk
GP028,"Ikan Pindang benggol, mentah",Lauk
GP029,"Ikan Pindang layang, mentah",Lauk
GP030,"Ikan Pindang selar, mentah",Lauk
GR061,"Ikan pomo, segar",Lauk
